User,CouponCode,category,Redeemed,CouponDiscount,MinAmountSpend,Company
52-6031662,CIK3642,Outdoors,TRUE,38,9863,Kwideo
57-8674095,TTR6555,Music,TRUE,29,6246,Ooba
85-1657303,FXV0559,Industrial,FALSE,47,5500,Realblab
23-1189889,STD7344,Industrial,TRUE,26,8794,Skilith
62-6718012,EOG6621,Home,TRUE,27,4425,Jamia
21-3017613,ZFL9845,Grocery,FALSE,35,779,Realblab
14-0682450,AHR1241,Garden,TRUE,41,5561,Tazz
72-0722189,IXF0895,Health,FALSE,17,8086,Skajo
02-2290563,BFW8385,Kids,FALSE,16,9721,Katz
51-3587353,PNB1205,Beauty,FALSE,41,6698,Shuffledrive
45-5804375,NLJ0830,Garden,TRUE,34,7269,Tavu
06-1093052,BQC0340,Beauty,TRUE,33,2824,Trilith
53-4546804,XFP2129,Music,FALSE,28,3814,Trudeo
69-3821897,NFM6171,Home,FALSE,19,9441,Thoughtmix
67-0293630,DCE9029,Sports,TRUE,35,5418,Browsezoom
32-1647968,FYW3772,Health,FALSE,28,7774,Zazio
45-8931896,MBI6371,Industrial,TRUE,21,9539,Browseblab
07-1329508,LFB4635,Shoes,FALSE,17,6908,Realpoint
55-2582274,PXF0695,Shoes,FALSE,32,9796,Photofeed
86-0771315,XBF3891,Garden,FALSE,21,2942,Latz
38-1463153,ZTG2298,Grocery,FALSE,10,3062,Vitz
63-9108305,QSE1028,Books,TRUE,50,4466,Brightdog
99-4196932,VLW1820,Shoes,FALSE,44,9481,Lajo
54-1332911,HRB6644,Movies,FALSE,21,5400,Devify
59-3417287,PBA2262,Outdoors,TRUE,17,2264,Divavu
17-4198537,SJJ5070,Kids,FALSE,21,3639,Brightdog
95-0023440,WVO0168,Sports,TRUE,10,4689,Gigashots
86-5115699,BCC1190,Shoes,FALSE,28,1392,Realbuzz
25-1063762,FMV0439,Movies,TRUE,42,7167,Linklinks
54-2187105,AAV5216,Shoes,FALSE,28,5694,Jaloo
42-9067516,SEF3601,Grocery,TRUE,20,5343,Voonder
40-7853016,YEO4507,Outdoors,FALSE,12,6972,Pixoboo
35-5590121,AWE8500,Health,FALSE,10,1335,Skiba
12-4622535,HJT1738,Computers,TRUE,50,7129,Tanoodle
49-0267823,WTR3139,Outdoors,TRUE,34,4388,Kaymbo
22-1224690,XMT2957,Grocery,TRUE,24,5749,Blogtags
75-6001041,KFF8529,Outdoors,FALSE,43,3128,Eamia
88-8434491,OOG4305,Home,FALSE,50,5985,Browsecat
64-5006993,VZJ9078,Books,FALSE,20,2674,Camimbo
74-3698117,RAA3556,Home,FALSE,15,922,Oyonder
34-9010214,EDF8271,Grocery,FALSE,28,3481,Yacero
93-1971688,IFL5291,Electronics,TRUE,23,6166,Zazio
15-8700159,PJI8216,Health,TRUE,29,2451,Yamia
91-6560043,WFN1444,Electronics,FALSE,25,7840,Zoomcast
98-3214661,OFW4261,Toys,TRUE,30,4832,Rooxo
44-5382559,BRW4835,Clothing,FALSE,21,782,Jazzy
37-1124473,SAY9887,Baby,TRUE,34,3369,Feednation
29-9175953,DNF0847,Industrial,FALSE,33,6381,Yozio
65-9664097,BNC0485,Games,FALSE,21,3160,Edgewire
70-9960175,NNL7673,Baby,FALSE,30,5509,Skidoo
52-4296590,DXC7674,Movies,FALSE,47,7364,Jaxworks
88-8245181,WCP2990,Beauty,TRUE,50,9267,Edgetag
67-1382566,PDN0600,Kids,FALSE,38,8049,Katz
62-9073553,NDS7241,Home,FALSE,30,5073,Meembee
33-8207563,QVQ0106,Health,TRUE,17,6197,Jaxnation
36-4201419,ZEY3071,Kids,TRUE,48,8250,Jabbersphere
46-5319441,ZQN4812,Industrial,TRUE,23,799,Feedfish
92-7434838,ONU7855,Shoes,FALSE,38,8845,Wordware
57-6691186,ATU6656,Shoes,TRUE,32,8917,Skipfire
78-2776655,VSS8974,Games,TRUE,19,7338,Dabtype
68-2788731,IUG8515,Automotive,TRUE,30,2120,Skyble
69-3277173,CAG4087,Garden,TRUE,19,8628,Realcube
46-2829452,CCS6338,Automotive,FALSE,17,4407,LiveZ
31-1912341,VFT9490,Clothing,TRUE,42,4588,Meetz
96-7617912,GWC8652,Jewelry,TRUE,30,9531,InnoZ
09-6211062,VGD7176,Kids,TRUE,22,1272,Kazio
66-4686279,MEH8847,Computers,TRUE,40,7400,Dynabox
31-9799396,ISV4300,Jewelry,TRUE,38,8906,Chatterbridge
46-5738547,BAC4342,Electronics,FALSE,32,7890,Twimbo
55-5759454,ITI6311,Sports,FALSE,33,5598,Skynoodle
87-8972488,ZMA3242,Tools,FALSE,42,4022,Wikizz
10-2931298,NUM0172,Garden,TRUE,40,425,Browseblab
87-2632442,XOL6676,Toys,FALSE,36,7528,Brainbox
48-0421135,TEH1742,Shoes,FALSE,34,7794,Babbleblab
32-2357533,MPN4216,Industrial,TRUE,25,8104,Lazzy
78-4178547,AGH2464,Movies,TRUE,31,1461,Thoughtstorm
24-0446080,JJV3997,Electronics,TRUE,31,9135,Mybuzz
52-6138773,RLD9979,Clothing,FALSE,46,5058,Latz
58-2897305,SML0746,Beauty,TRUE,47,2473,Yombu
67-2597036,WZS2928,Games,TRUE,40,8162,Oloo
47-8299697,TEM6059,Baby,FALSE,37,7629,Zoomdog
87-3084964,RHP4586,Games,TRUE,50,2319,Fliptune
16-0754660,DRI0832,Games,TRUE,25,5237,Oloo
17-8982958,MJT4428,Beauty,FALSE,36,1542,Skippad
99-4253740,NWC9079,Jewelry,TRUE,47,7419,Zoombox
22-8008244,HDT7828,Tools,FALSE,37,985,Shuffletag
41-8642811,COJ9331,Outdoors,FALSE,41,8012,Dabshots
32-1675996,MOC7796,Electronics,FALSE,42,4103,Bluejam
83-5094369,ECO9492,Automotive,FALSE,39,4040,Zoonder
57-0745146,AOZ6757,Sports,FALSE,14,4623,Reallinks
03-6041528,SSM2032,Kids,TRUE,17,2051,Flashpoint
04-9019198,NDG7733,Movies,FALSE,43,6652,Yacero
99-9447337,NUJ7558,Jewelry,TRUE,24,2754,Gigabox
87-3616236,JFF7409,Computers,TRUE,18,3982,Realbridge
68-5071721,AZD3423,Grocery,FALSE,43,5739,Photolist
48-9377445,DTY9743,Clothing,FALSE,18,9528,Eamia
68-6674057,EDW8476,Music,TRUE,15,9335,Skipstorm
59-9101177,ZGX9332,Grocery,FALSE,32,8397,Rhycero
14-9474996,ISE3842,Health,TRUE,35,9763,Abatz
98-8136211,Jun-75,Sports,FALSE,29,3959,Oyoba
94-6492899,FKE1158,Movies,TRUE,41,8212,Dabtype
53-8803494,DNW5821,Music,TRUE,50,2796,Feedmix
86-8267630,NQK7938,Books,FALSE,38,9178,Twitternation
92-6155929,CIZ7906,Home,TRUE,49,5999,Thoughtblab
10-2167671,GXH1135,Movies,FALSE,21,8336,Mydo
29-7518492,WOR2617,Books,FALSE,42,2159,Flashspan
72-3079937,YAP8345,Garden,TRUE,24,7691,Ooba
35-2081911,GED6989,Shoes,TRUE,25,7837,Zoomdog
61-1132240,HBB8400,Sports,TRUE,18,2959,Yacero
95-5025169,VER6346,Sports,FALSE,50,9053,Trudoo
25-6703007,ZCH6322,Beauty,FALSE,40,7302,Mydeo
43-0973834,VXD3248,Toys,TRUE,50,3404,Dabfeed
57-1289116,SOD8716,Electronics,FALSE,11,4242,Omba
26-0380574,RKI2859,Outdoors,FALSE,23,6207,Blogtag
35-8845946,HUN0369,Clothing,FALSE,18,7116,Skimia
73-7057066,WHE8190,Health,TRUE,45,6699,Yakitri
86-8635051,UUJ0134,Baby,FALSE,32,5319,Yabox
71-2132289,JFA6096,Electronics,TRUE,17,7678,Pixope
08-4036240,NQD2900,Tools,FALSE,17,9446,Quinu
56-3923191,TLY1144,Baby,FALSE,41,4761,Blogtags
33-5884694,FGJ2203,Movies,TRUE,35,9039,Kaymbo
71-1949362,BGF1158,Automotive,FALSE,43,392,Teklist
51-2040272,ESS5989,Garden,FALSE,10,6117,Flipstorm
71-4285417,FTJ2977,Shoes,FALSE,12,6225,Vinte
37-7961269,TLK8778,Music,FALSE,25,5448,Mita
22-2854239,PIQ0269,Toys,FALSE,22,6355,Yodoo
99-8710225,VRP7380,Computers,FALSE,14,7477,Skiba
03-4526260,MBY3987,Toys,FALSE,24,211,Blogpad
27-4911312,KAG9541,Beauty,TRUE,10,5674,Yakijo
05-6383359,HUA4671,Electronics,FALSE,19,3135,Innojam
68-0427365,HPZ8942,Beauty,TRUE,16,2067,Tanoodle
39-0688260,JHJ2864,Health,TRUE,46,3203,Skipstorm
39-3670817,TCM2226,Shoes,FALSE,31,2077,Brainsphere
62-6149806,GHR3728,Kids,FALSE,16,3936,Rhyzio
47-3577716,ACL2653,Tools,TRUE,28,1425,Realfire
69-1414503,TOD4318,Home,FALSE,33,2074,Skyble
70-1587488,WFJ4047,Beauty,FALSE,25,1956,Zoombeat
86-2500561,FCA0015,Grocery,FALSE,35,2399,Thoughtstorm
05-2575710,WXM6386,Games,FALSE,12,5892,Jabbertype
73-4517606,SJZ3115,Music,TRUE,19,8054,Jabbersphere
06-6158080,LIJ2806,Industrial,TRUE,37,9293,Jabbertype
85-6730543,ISE7524,Movies,TRUE,11,372,Feedfish
71-5195878,EJJ7323,Toys,TRUE,24,2202,Twinte
86-4675492,HNV9313,Electronics,FALSE,23,7991,Rhynoodle
22-4788202,FJV2939,Clothing,TRUE,20,6470,Dynazzy
35-2949518,VRA9141,Toys,TRUE,15,3366,Youfeed
03-3495385,KIA3678,Games,FALSE,17,3201,Gabvine
60-3429092,HQC0529,Tools,TRUE,43,8965,Zoozzy
46-9041664,SIC5939,Garden,FALSE,19,4834,Youbridge
29-8315134,MNY5999,Clothing,FALSE,43,2024,Divavu
49-7256401,EPD8135,Baby,TRUE,14,8939,Wordify
85-3874285,UTD0422,Computers,FALSE,42,5847,Eayo
73-0440266,LVD0225,Grocery,FALSE,14,2999,Demivee
37-7370124,NAV4028,Electronics,FALSE,21,7342,Kanoodle
54-1229008,GWS8260,Garden,FALSE,40,5101,Devbug
82-2938069,FGG7400,Tools,TRUE,13,9671,Roodel
71-1209616,WTU2031,Tools,FALSE,44,9007,Eadel
30-1008512,LRB7987,Books,FALSE,45,4704,Skipstorm
61-6930264,OJF2189,Health,TRUE,50,5068,Oyope
91-8681115,HAU9378,Shoes,TRUE,20,5427,Wikizz
44-6123259,BBS2809,Electronics,TRUE,44,7394,Fadeo
49-3141163,RXR0741,Music,FALSE,15,2712,Gevee
11-9691742,EOV4396,Garden,FALSE,40,705,Bubbletube
07-0926307,ESS3113,Games,TRUE,11,7599,Cogibox
50-0709050,BWR5105,Automotive,FALSE,46,5081,Leenti
99-8314120,VTD7106,Industrial,FALSE,37,5196,Twinte
51-7037664,TXO8057,Tools,FALSE,15,4840,Oyoloo
90-6146576,GGM1990,Computers,TRUE,20,997,Skinte
32-8764736,VCO7512,Electronics,TRUE,41,6135,Oyoba
95-2586007,XEX4853,Books,TRUE,11,8265,Browsetype
28-1222057,VUN7955,Electronics,FALSE,35,6845,Dabtype
29-9110815,NJZ5476,Books,FALSE,11,4542,Rhycero
74-8711817,ZHK5897,Tools,TRUE,14,4412,Jabberstorm
09-6366139,UIR8662,Beauty,TRUE,39,2852,Realcube
23-9407497,LFA5624,Electronics,TRUE,35,6862,Oyoba
74-6276848,NIE2872,Home,FALSE,34,8159,Yozio
32-6431692,QDM3535,Garden,TRUE,22,3538,Teklist
80-1360461,DMT9611,Movies,FALSE,16,6809,Mynte
29-2939110,JIQ9861,Garden,TRUE,47,4639,Dabshots
64-4468784,CUE1795,Games,FALSE,12,6496,Gabtune
31-3341577,PJK6082,Home,TRUE,15,4161,BlogXS
68-4796170,GQN9051,Garden,FALSE,20,336,Wordify
48-3060332,UHN2676,Toys,FALSE,36,5295,Meetz
87-6289113,PLA5548,Health,FALSE,25,3411,Kwinu
87-6110066,HNF3756,Tools,TRUE,43,5685,Browsecat
12-1353370,GVC0650,Shoes,FALSE,49,6624,Browsetype
90-5820221,BRT3201,Health,FALSE,30,3747,Thoughtbeat
02-8281671,PHA5552,Sports,TRUE,37,1848,Skidoo
30-9754005,DDU7157,Toys,TRUE,18,6177,Lazz
78-2237416,XYS8397,Health,TRUE,31,2325,Gigaclub
48-1129691,LQL2791,Beauty,TRUE,17,3706,Vinte
03-6347664,JFC7548,Books,TRUE,28,8799,Brightbean
35-5329289,BCB1457,Tools,TRUE,10,525,Bubbletube
56-8235232,GON2934,Electronics,TRUE,14,536,Skinix
96-7925626,MSL2753,Computers,TRUE,10,4735,Skipstorm
19-6103706,DWT4601,Outdoors,FALSE,24,4197,Leenti
33-8356030,JXT7105,Music,FALSE,13,1454,Digitube
24-9078999,XDJ1187,Jewelry,TRUE,45,5820,Oyope
92-4183269,KUQ4452,Movies,TRUE,40,4113,Voonyx
07-4470118,RML5393,Health,FALSE,35,7832,Zava
26-1826301,QFT1512,Tools,FALSE,15,7770,Kwilith
22-4308118,HYE2556,Home,TRUE,38,6199,Livefish
07-5158619,HLE0959,Automotive,FALSE,23,8302,Janyx
38-1064321,VOO4593,Home,FALSE,37,3588,Cogidoo
02-9439436,GJM7145,Automotive,FALSE,13,7201,Agimba
88-9537200,RIR0348,Books,TRUE,33,1454,Photobug
17-9526258,OST3768,Music,FALSE,24,7510,Quinu
58-9782864,JRA5040,Movies,FALSE,20,8287,Realpoint
68-5370548,DNI0173,Home,FALSE,16,4392,Eare
38-3399097,GVZ5053,Kids,TRUE,42,9646,Eidel
57-4699655,YNM1171,Computers,TRUE,22,322,Aimbu
60-8365883,GNW2238,Movies,FALSE,26,1156,Leenti
63-6925696,XVS9170,Toys,FALSE,29,4494,Babbleset
44-8822438,TPX5634,Sports,TRUE,42,7574,Lajo
71-3644747,HEJ4464,Health,TRUE,39,3384,Youopia
64-2563983,JDQ8979,Garden,FALSE,20,3806,Centizu
74-7033422,ISK2195,Garden,TRUE,42,4604,Agivu
96-3966267,QWE8964,Movies,TRUE,15,7914,Kwimbee
29-5387069,GGT8167,Books,FALSE,20,7686,Browsebug
60-0208166,HIM4730,Books,FALSE,13,3966,Fiveclub
72-7649741,NUE3190,Health,FALSE,20,9710,Photospace
41-1563409,VUF2191,Tools,TRUE,12,8236,Skivee
23-9216166,FEP3970,Electronics,FALSE,13,6187,Pixoboo
67-0943035,NNH0215,Books,TRUE,25,1439,Tavu
17-0976658,NIS8424,Clothing,TRUE,32,6599,Buzzdog
15-9398447,VLU7734,Automotive,FALSE,18,5218,Skimia
73-0883934,SWC4205,Sports,TRUE,43,8285,Fatz
58-3979314,YMD5799,Shoes,TRUE,43,4802,Zazio
83-1481226,FOO8232,Kids,TRUE,28,8745,Topicware
23-6263351,GKN6458,Grocery,TRUE,23,5289,Vipe
73-6358894,SRN1262,Industrial,FALSE,17,9697,Quatz
69-0737408,TCF4721,Books,TRUE,21,7882,Jabberstorm
19-6550939,OCH5109,Games,FALSE,32,9296,Divavu
48-6866206,AEW6927,Outdoors,TRUE,47,1622,Zava
74-2699669,QQA9827,Kids,TRUE,30,1673,Eire
15-5470412,YPU6848,Outdoors,TRUE,42,2347,Npath
36-6462482,CAY0321,Movies,FALSE,13,4728,Twinte
08-8928783,QQG4465,Outdoors,TRUE,41,5151,Youbridge
20-2502096,YYU8577,Music,TRUE,26,8500,Gigaclub
78-6899972,FJK9572,Music,FALSE,17,7294,Reallinks
18-6722565,TUA5924,Grocery,TRUE,21,9979,Brightbean
41-0147899,WPO5672,Books,FALSE,24,2147,Centimia
49-8885219,YVL9182,Grocery,FALSE,11,3715,Voolia
77-9538977,FZX8910,Jewelry,TRUE,31,7441,Teklist
90-5514315,HCK7785,Movies,TRUE,38,1232,Camimbo
17-1233921,DDT5521,Tools,FALSE,12,5541,Tanoodle
45-7445011,AGS5596,Sports,FALSE,14,9416,Oozz
29-2061590,LOW9516,Grocery,FALSE,30,4402,Agivu
76-6194845,FSH7404,Garden,FALSE,42,2862,Dynava
35-5275490,UID3131,Sports,TRUE,12,8572,Izio
03-8059887,BHV9752,Electronics,TRUE,50,9625,Linkbuzz
23-2147357,QTX2046,Jewelry,TRUE,31,3184,Topdrive
89-5862981,ZWS1928,Automotive,FALSE,13,6451,Babbleblab
06-2633424,ZUY4891,Shoes,TRUE,41,2265,Yoveo
84-7609983,ODQ2469,Garden,FALSE,18,8732,Eare
67-6667147,EZA1446,Games,TRUE,37,5661,Ntags
45-7918381,EZX3765,Movies,TRUE,44,720,Eare
10-7693851,LUV3272,Movies,TRUE,38,9735,Zava
59-3226721,XVW3985,Movies,TRUE,25,668,Thoughtworks
63-3618013,MFQ4500,Computers,FALSE,41,7332,Shuffledrive
22-4863527,GIH0002,Grocery,FALSE,10,1480,Pixoboo
09-0766447,JCO8581,Movies,FALSE,45,642,Eazzy
95-6468522,RID9796,Beauty,TRUE,40,2428,Flashpoint
79-5206703,TJI6583,Computers,TRUE,19,7552,Zoomcast
50-6169789,MFB7501,Baby,TRUE,36,4237,Yabox
78-3797127,YCR8570,Grocery,TRUE,15,3865,Layo
07-7592513,HRJ6290,Clothing,FALSE,36,5976,Wikivu
87-6767394,FHJ0292,Grocery,FALSE,10,1816,Twitterbridge
76-6319096,HRV2437,Clothing,FALSE,46,9074,Jetpulse
73-6124230,XEP2063,Beauty,TRUE,17,2316,Wordware
89-7644282,TJM6203,Garden,FALSE,13,7503,Thoughtbeat
37-1363082,KFQ5765,Kids,TRUE,40,8492,Voonix
06-4236788,VWT3134,Games,TRUE,37,7944,Devbug
64-7331238,JFX9214,Jewelry,TRUE,39,2727,Eayo
08-2991411,MPV2995,Books,TRUE,46,1579,Fanoodle
44-0904951,PCG7213,Toys,FALSE,19,9102,Shufflebeat
72-8906238,PUC7195,Kids,FALSE,15,5960,Browsedrive
77-7098918,VSO2938,Home,TRUE,31,7627,Vidoo
83-5922941,ZTV1707,Electronics,FALSE,21,9010,Skalith
40-2830147,TCY9120,Tools,FALSE,31,6790,Feedspan
39-8159513,TIZ6227,Games,TRUE,36,7102,Eamia
35-4594686,GIN9503,Clothing,FALSE,34,5023,Podcat
94-0342182,EZL8736,Jewelry,FALSE,35,9484,Skilith
37-0100918,VJK4275,Automotive,TRUE,29,5831,Quinu
16-7058134,BES3895,Electronics,TRUE,27,8920,Thoughtblab
81-1124743,XDC8731,Health,TRUE,22,2615,Skinix
01-5562127,UWR5408,Clothing,FALSE,25,289,Jabberbean
54-6929521,MTC5010,Baby,FALSE,25,812,Blognation
08-1175778,NBF7192,Outdoors,TRUE,40,5809,Eadel
29-2417472,VJX2177,Books,FALSE,28,9459,Wordtune
32-5256987,FSQ4833,Shoes,FALSE,16,5987,Devpulse
47-2734797,FSF1383,Home,FALSE,30,9089,Fivebridge
23-8673614,CKG8278,Beauty,TRUE,47,1264,Miboo
84-8031537,JYO6202,Home,TRUE,44,1298,Tekfly
40-5192772,HGJ6923,Health,TRUE,32,7017,Demivee
67-3058582,LRQ3111,Health,FALSE,19,7042,Skipfire
59-4926351,URL1120,Music,FALSE,10,3934,Yadel
99-3731478,BVB6931,Outdoors,FALSE,12,3174,Gigabox
12-9191568,ULJ2197,Outdoors,TRUE,39,2942,Ozu
64-9870152,CZK3329,Toys,FALSE,24,979,Skyba
04-7868336,BDT2289,Books,FALSE,28,4756,Gabvine
